#{"t_start": 1624019661.3561766, "env_id": "CartPole-v1"}
r,l,t
1.0,1,3.122019
1.0,1,3.123851
1.0,1,3.125668
1.0,1,3.127506
1.0,1,3.129542
1.0,1,3.131412
1.0,1,3.133304
1.0,1,3.135207
1.0,1,3.137074
1.0,1,3.138947
1.0,1,3.140694
1.0,1,3.142441
1.0,1,3.144278
1.0,1,3.146048
1.0,1,3.14784
1.0,1,3.149654
1.0,1,3.151468
1.0,1,3.153511
1.0,1,3.155329
1.0,1,3.157152
1.0,1,3.158941
1.0,1,3.160798
1.0,1,3.162612
1.0,1,3.16442
1.0,1,3.16624
1.0,1,3.168017
1.0,1,3.169739
1.0,1,3.171504
1.0,1,3.173326
1.0,1,3.175167
1.0,1,3.17697
1.0,1,3.17881
1.0,1,3.180595
1.0,1,3.182412
1.0,1,3.184289
1.0,1,3.186115
1.0,1,3.187946
1.0,1,3.189796
1.0,1,3.191655
1.0,1,3.193428
1.0,1,3.195201
1.0,1,3.19698
1.0,1,3.198757
1.0,1,3.200548
1.0,1,3.202404
1.0,1,3.204273
1.0,1,3.206128
1.0,1,3.207958
1.0,1,3.210006
1.0,1,3.211838
1.0,1,3.213728
1.0,1,3.215605
1.0,1,3.217463
1.0,1,3.219317
1.0,1,3.221146
1.0,1,3.222972
1.0,1,3.224841
1.0,1,3.226665
1.0,1,3.228423
1.0,1,3.230832
1.0,1,3.232531
1.0,1,3.234925
1.0,1,3.237113
1.0,1,3.239198
1.0,1,3.241531
1.0,1,3.243748
1.0,1,3.246017
1.0,1,3.247915
1.0,1,3.249863
1.0,1,3.251783
1.0,1,3.253649
1.0,1,3.255505
1.0,1,3.257375
1.0,1,3.259215
1.0,1,3.261047
1.0,1,3.262882
1.0,1,3.264788
1.0,1,3.266617
1.0,1,3.268485
1.0,1,3.270341
1.0,1,3.272126
1.0,1,3.273888
1.0,1,3.27564
1.0,1,3.277382
1.0,1,3.279157
1.0,1,3.281015
1.0,1,3.282876
1.0,1,3.284716
1.0,1,3.286549
1.0,1,3.288332
1.0,1,3.290095
1.0,1,3.291831
1.0,1,3.293565
1.0,1,3.295287
1.0,1,3.297057
1.0,1,3.298794
1.0,1,3.300534
1.0,1,3.302196
1.0,1,3.303925
1.0,1,3.305695
1.0,1,3.307456
1.0,1,3.309243
1.0,1,3.311031
1.0,1,3.31282
1.0,1,3.314672
1.0,1,3.316515
1.0,1,3.318337
1.0,1,3.320186
1.0,1,3.322023
1.0,1,3.323876
1.0,1,3.32575
1.0,1,3.327596
1.0,1,3.329457
1.0,1,3.331313
1.0,1,3.333145
1.0,1,3.33498
1.0,1,3.336808
1.0,1,3.338616
1.0,1,3.340431
1.0,1,3.34218
1.0,1,3.343954
1.0,1,3.3457
1.0,1,3.347434
1.0,1,3.349168
1.0,1,3.350945
1.0,1,3.352771
1.0,1,3.35452
1.0,1,3.3563
1.0,1,3.358067
1.0,1,3.359939
1.0,1,3.361792
1.0,1,3.363634
1.0,1,3.365467
1.0,1,3.367379
1.0,1,3.369316
1.0,1,3.371178
1.0,1,3.372999
1.0,1,3.374845
1.0,1,3.376667
1.0,1,3.378437
1.0,1,3.38028
1.0,1,3.38203
1.0,1,3.38379
1.0,1,3.385656
1.0,1,3.387434
1.0,1,3.389226
1.0,1,3.391014
1.0,1,3.392991
1.0,1,3.394871
1.0,1,3.396744
1.0,1,3.398535
1.0,1,3.400334
1.0,1,3.402153
1.0,1,3.403975
1.0,1,3.405818
1.0,1,3.407695
1.0,1,3.409565
1.0,1,3.411414
1.0,1,3.413246
1.0,1,3.415115
1.0,1,3.416997
1.0,1,3.418851
1.0,1,3.420636
1.0,1,3.422382
1.0,1,3.42415
1.0,1,3.426105
1.0,1,3.428507
1.0,1,3.430833
1.0,1,3.433091
